group group.name disease flag n.target n.disease n.overlap j.overlap d.target d.disease symptomatic ra re z.pathway z.side d z pval pval.adj
DB00775 Tirofiban bone.diseases.metabolic False 2 27 0 0.0 49.0 15.0 False NA NA NA NA 3.0 -0.992326165062 0.160519221816 0.420992439139
DB00775 Tirofiban colorectal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 2.66666666667 -1.42451902044 0.0771481415456 0.358511951888
DB00775 Tirofiban eye.diseases False 2 231 0 0.0 49.0 20.5800865801 False NA NA NA NA 3.01731601732 -0.621191190682 0.267236917457 0.420992439139
DB00775 Tirofiban collagen.diseases False 2 25 0 0.0 49.0 15.36 False NA NA NA NA 2.78 -1.94754995165 0.0257344186304 0.254127383975
DB00775 Tirofiban leukemia.myeloid.acute False 2 43 0 0.0 49.0 51.4418604651 False NA NA NA NA 2.76744186047 -0.632098821974 0.263661152466 0.420992439139
DB00775 Tirofiban kidney.diseases False 2 144 0 0.0 49.0 18.7291666667 False NA NA NA NA 2.96875 -0.893557252653 0.185779413312 0.420992439139
DB00775 Tirofiban epilepsy False 2 25 0 0.0 49.0 13.56 False NA NA NA NA 3.12 0.0692316325855 0.527597377828 0.587044969696
DB00775 Tirofiban joint.diseases False 2 79 0 0.0 49.0 28.1898734177 False NA NA NA NA 3.06962025316 0.229875147842 0.590905605813 0.63083166026
DB00775 Tirofiban vascular.diseases False 2 181 0 0.0 49.0 27.6077348066 False NA NA NA NA 2.79005524862 -1.88762080868 0.0295384372529 0.259281838109
DB00775 Tirofiban neuroendocrine.tumors False 2 24 0 0.0 49.0 39.6666666667 False NA NA NA NA 2.89583333333 -0.449261707277 0.326621438917 0.435405886392
DB00775 Tirofiban parkinsonian.disorders False 2 31 0 0.0 49.0 20.6129032258 False NA NA NA NA 2.98387096774 -0.367449413928 0.356641909232 0.445660963079
DB00775 Tirofiban hypopigmentation False 2 22 0 0.0 49.0 32.9090909091 False NA NA NA NA 2.90909090909 -0.368293108114 0.356327345438 0.445660963079
DB00775 Tirofiban intestinal.neoplasms False 2 42 0 0.0 49.0 51.5 False NA NA NA NA 2.66666666667 -1.44352545615 0.0744362534115 0.358511951888
DB00775 Tirofiban thyroid.diseases False 2 30 0 0.0 49.0 21.8666666667 False NA NA NA NA 2.98333333333 -0.674638249571 0.249952812741 0.420992439139
DB00775 Tirofiban diabetes.mellitus False 2 162 0 0.0 49.0 19.1234567901 False NA NA NA NA 2.99074074074 -0.842574135852 0.199733330635 0.420992439139
DB00775 Tirofiban dementia False 2 42 0 0.0 49.0 30.8095238095 False NA NA NA NA 2.72619047619 -1.4786105616 0.0696222141655 0.358511951888
DB00775 Tirofiban mycobacterium.infections False 2 22 0 0.0 49.0 32.7272727273 False NA NA NA NA 3.22727272727 1.37776413028 0.915861937986 0.915861937986
DB00775 Tirofiban arrhythmias.cardiac False 2 30 0 0.0 49.0 11.4666666667 False NA NA NA NA 3.0 -0.814386563773 0.207711766722 0.420992439139
DB00775 Tirofiban prostatic.neoplasms False 2 61 0 0.0 49.0 23.7704918033 False NA NA NA NA 2.94262295082 -1.32285092561 0.0929424789319 0.397952499045
DB00775 Tirofiban head.and.neck.neoplasms False 2 35 0 0.0 49.0 47.0857142857 False NA NA NA NA 2.87142857143 -0.375793097572 0.353535359838 0.445660963079
